FIELD_NAME|AVERAGE|HIGH|LOW|SAMPLE|MEDIAN|STDDEV
NETINC_Q5|103.66|18540.00|-22774.00|6024|0.93|686.38
NETINC_Q6|102.48|12011.00|-2911.11|6001|0.76|551.26
NETINC_Q7|83.69|13822.00|-8778.00|5956|0.35|499.13
NETINC_Q8|77.74|32551.00|-19094.00|5915|0.04|947.57
NETINC_Y1|344.43|55256.00|-22809.00|6091|2.13|1856.92
NETINC_Y2|307.30|59531.00|-16525.00|6066|1.66|1866.07
NETINC_Y3|251.90|48351.00|-9312.75|5943|1.37|1536.18
NETINC_Y4|420.60|1144469.49|-14856.00|5708|1.33|15228.97
NETINC_Y5|475.65|1029469.73|-7394.98|5490|4.04|13981.76
NETINC_Y6|324.68|65303.83|-23142.97|5284|4.00|2029.37
NETINC_Y7|463.15|893012.97|-14761.00|5051|4.13|12711.40
NIT_12M|342.59|55256.00|-10911.00|6021|2.11|1898.84
NIT_Q1|102.21|16657.00|-11373.00|5462|1.63|652.44
NIT_Q2|104.63|14173.00|-5384.00|6099|0.66|629.77
NIT_Q3|95.22|21732.00|-6165.00|6081|0.45|595.56
NIT_Q4|87.20|33133.80|-25693.00|6049|0.55|817.16
NIT_Q5|105.40|18707.00|-23014.00|6024|1.05|662.47
NIT_Q6|105.67|12077.00|-2911.11|6001|0.84|554.67
NIT_Q7|89.78|13822.00|-2829.97|5956|0.70|488.84
NIT_Q8|82.57|22665.00|-12798.00|5915|0.82|635.38
NIT_Y1|355.22|55256.00|-20506.00|6091|2.31|1882.70
NIT_Y2|326.21|61046.00|-17507.00|6066|2.95|1757.90
NIT_Y3|266.57|48351.00|-6759.95|5943|1.70|1539.48
NIT_Y4|365.34|756148.96|-14635.00|5708|1.56|10135.02
NIT_Y5|444.67|747528.66|-7295.80|5490|4.42|10218.18
NIT_Y6|355.18|83982.00|-23204.45|5284|4.71|2282.12
NIT_Y7|488.46|893012.97|-14761.00|5051|4.75|12720.83
NPM_12M|-18.14|702.99|-983.00|4465|4.61|114.62
NPM_Y1|-23.57|921.39|-976.05|5015|4.37|127.16
NPM_Y2|-23.22|921.72|-999.00|5003|4.18|126.55
NPM_Y3|-26.84|973.12|-987.31|4934|3.80|130.55
NPM_Y4|-31.19|753.63|-998.16|4763|3.81|134.52
NPM_Y5|-22.04|876.25|-990.75|4587|4.81|124.21
NPM_Y6|-20.04|888.47|-994.22|4426|4.93|121.83
NPM_Y7|-18.07|995.22|-994.25|4286|4.69|116.46
NPPE_Q1|2376.84|275260.93|0.00|5987|52.63|11327.13
NPPE_Q2|2350.24|273042.82|0.00|5986|51.76|11072.88
NPPE_Q3|2278.40|250117.00|0.00|5919|47.03|10877.35
NPPE_Q4|2236.14|247101.00|0.00|5840|35.77|10884.22
NPPE_Q5|2194.91|249153.00|0.00|5793|35.46|10968.24
NPPE_Q6|2199.35|248209.00|0.00|5717|37.09|10762.58
NPPE_Q7|2170.94|250352.00|0.00|5636|37.62|10698.32
NPPE_Q8|2245.71|252630.00|0.00|5554|38.76|11083.87
NPPE_Y1|2366.26|247101.00|0.00|5918|38.10|11395.09
NPPE_Y2|2428.22|464320.00|0.00|5894|34.75|13191.31
NPPE_Y3|2283.85|460268.00|0.00|5771|33.20|12413.29
NPPE_Y4|2574.25|303704.00|0.00|5541|36.50|12544.68
NPPE_Y5|2476.04|395193.00|0.00|5358|35.30|12548.87
NPPE_Y6|2618.36|567515.00|0.00|5170|36.35|14712.31
NPPE_Y7|2620.96|439100.00|0.00|4907|35.70|15790.68
OCA_Q1|171.49|67160.00|0.00|5978|3.63|1329.51
OCA_Q2|180.43|62473.00|0.00|5965|3.33|1477.81
OCA_Q3|190.81|65651.00|0.00|5911|3.20|1600.94
OCA_Q4|205.53|110654.00|0.00|5853|3.11|2090.51
OCA_Q5|180.74|59793.33|0.00|5810|2.92|1478.25
OCA_Q6|184.91|55979.00|0.00|5735|2.90|1418.95
OCA_Q7|170.91|54944.00|0.00|5660|2.76|1254.06
OCA_Q8|178.13|52124.00|0.00|5562|2.83|1313.44
OCA_Y1|201.19|110606.00|0.00|5926|3.70|2061.60
OCA_Y2|180.54|52124.00|0.00|5856|3.10|1289.22
OCA_Y3|176.75|55926.00|0.00|5705|2.80|1300.52
OCA_Y4|193.93|51957.00|0.00|5460|3.00|1378.02
OCA_Y5|258.06|184492.00|0.00|5267|3.10|2893.25
OCA_Y6|229.74|166740.00|0.00|5080|2.70|2615.84
OCA_Y7|267.27|209348.00|0.00|4892|2.80|3382.77
OCL_Q1|1631.10|907105.45|0.00|5988|28.48|20391.88
OCL_Q2|1750.29|890487.98|0.00|5980|27.02|20939.76
OCL_Q3|1652.26|855275.89|0.00|5866|27.14|20509.75
OCL_Q4|1895.74|1051353.66|0.00|5608|26.19|24092.59
OCL_Q5|1767.52|1116020.14|0.00|5564|25.28|24202.32
OCL_Q6|1791.03|829286.17|0.00|5493|24.83|20968.54
OCL_Q7|1645.36|806147.58|0.00|5410|24.60|20157.31
OCL_Q8|1791.68|810627.61|0.00|5337|26.52|20700.92
OCL_Y1|1760.85|829998.00|0.00|5983|24.60|19950.23
OCL_Y2|1640.61|814839.00|0.00|5931|22.20|18468.47
OCL_Y3|1708.35|876085.00|0.00|5785|19.90|19981.66
OCL_Y4|1768.69|778520.00|0.00|5533|19.70|20375.84
