009C2|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|||3|3|3|3|3|3|3|3|009C2|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|RES|RES|CLA|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|RES
009D5|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12||3|3|3|3|3|3|3|3|009D5|T|M|M|M|M|M|M||M|M|M|M|M|M|M|M|UPD|UCA|UPD|UPD|UPD|UPD||UPD|UPD|UPD|UPD|UPD|UCA|UPD|UCA
009DE|06/30/2019|03/31/2019|03/31/2018|03/31/2017|03/31/2016|||06/30/2019|03/31/2019|09/30/2018|03/31/2018|09/30/2017|03/31/2017|09/30/2016||3|12|12|12|12|||3|6|6|6|6|6|6||009DE|T|M|M|M|M|M|||M|M|M|M|M|M|M||UPD|UPD|UPD|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|
009E0|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|||3|6|3|3|3|6|3|3|009E0|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|CLA|UPD|RES|UPD|UPD|||UPD|RSP|UPD|CLA|RES|RSP|UPD|UPD
009F7|12/31/2018|||||||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|||12|||||||3|3|3|3|3|6|||009F7|T|M|||||||M|M|M|M|M|M|||UPD|||||||UPD|UPD|UPD|UPD|UPD|UPD||
00A11|12/31/2018|12/31/2017|12/31/2016|||||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|||||3|3|3|3|3|3|3|3|00A11|T|M|M|M|||||M|M|M|M|M|M|M|M|UPD|UPD|UPD|||||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00A19|12/31/2018|12/31/2017|12/31/2016|||||06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|09/30/2017|12|12|12|||||3|3|3|3|3|3|3|3|00A19|T|M|M|M|||||M|M|M|M|M|M|M|M|UPD|UPD|UPD|||||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00A1B|12/31/2018|12/31/2017|12/31/2016|||||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|||||3|6|3|3|3|3|3|3|00A1B|T|M|M|M|||||M|M|M|M|M|M|M|M|UPD|UPD|UPD|||||UPD|CSP|RCA|UPD|UPD|CLA|UPD|UPD
00A48|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12||3|3|3|3|3|3|3|3|00A48|T|M|M|M|M|M|M||M|M|M|M|M|M|M|M|UPD|RES|UPD|UPD|UPD|UPD||UPD|UPD|UPD|UPD|UPD|UPD|UPD|RES
00A4B|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|||3|3|3|3|3|3|3|3|00A4B|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00A4C|12/31/2018|12/31/2017|12/31/2016|||||06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|09/30/2017|12|12|12|||||3|3|3|3|6|3|12|3|00A4C|T|M|M|M|||||M|M|M|M|M|M|M|M|UPD|UPD|UPD|||||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00A5C|12/31/2018|12/31/2017|12/31/2016|||||06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|09/30/2017|12|12|12|||||3|3|3|3|6|3|3|3|00A5C|T|M|M|M|||||M|M|M|M|M|M|M|M|UPD|UPD|UPD|||||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00A7B|12/31/2018|12/31/2017|12/31/2016|||||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|||||3|3|3|3|3|3|3|3|00A7B|T|M|M|M|||||M|M|M|M|M|M|M|M|UPD|UPD|UPD|||||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00A7F|03/31/2019|03/31/2018|03/31/2017|03/31/2016|03/31/2015|||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|||3|3|3|3|3|3|3|3|00A7F|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00A84|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013|12/31/2012|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|09/30/2017|06/30/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|00A84|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00A89|12/31/2018|||||||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|09/30/2017|12|||||||3|3|3|3|3|3|3|3|00A89|T|M|||||||M|M|M|M|M|M|M|M|UPD|||||||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00AA9|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12||3|3|3|3|3|3|3|3|00AA9|T|M|M|M|M|M|M||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|UPD||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00AAE|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|||3|3|3|3|3|3|3|3|00AAE|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|RES|RES|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|RES
